"Id","hour","sum_calories","total_intensity","avg_intensity","step_total","heart_mean"
1503960366,0,1829,222,8,4280,NA
1503960366,1,1616,105,2.5,1503,NA
1503960366,10,2418,486,16,13536,NA
1503960366,11,2391,438,12,14249,NA
1503960366,12,2505,548,12.5,16598,NA
1503960366,13,2674,625,13,20880,NA
1503960366,14,2716,697,20,21603,NA
1503960366,15,2346,441,11.5,13703,NA
1503960366,16,2544,579,10.5,17373,NA
1503960366,17,2709,625,15,20923,NA
1503960366,18,3854,1343,31,46683,NA
1503960366,19,3149,945,20.5,29151,NA
1503960366,2,1508,53,0,870,NA
1503960366,20,3172,957,21.5,32678,NA
1503960366,21,3398,1105,22,38686,NA
1503960366,22,2524,625,11,19800,NA
1503960366,23,2562,695,15,21662,NA
1503960366,3,1459,28,0,355,NA
1503960366,4,1431,10,0,108,NA
1503960366,5,1427,5,0,63,NA
1503960366,6,1467,30,0,465,NA
1503960366,7,1537,78,3,1176,NA
1503960366,8,1876,273,9,5641,NA
1503960366,9,3175,681,25,32560,NA
1624580081,0,1760,137,3,2542,NA
1624580081,1,1630,59,0,428,NA
1624580081,10,2185,433,8,20445,NA
1624580081,11,2076,363,10,7982,NA
1624580081,12,2021,313,8,5758,NA
1624580081,13,2175,396,6,11971,NA
1624580081,14,2126,363,8,10905,NA
1624580081,15,1809,160,3,4535,NA
1624580081,16,1908,256,4,7709,NA
1624580081,17,2020,315,6.5,8670,NA
1624580081,18,2183,422,11,10519,NA
1624580081,19,2273,505,12.5,13091,NA
1624580081,2,1656,77,1,1167,NA
1624580081,20,1896,266,6,6231,NA
1624580081,21,1920,295,6,6681,NA
1624580081,22,1899,275,8,6709,NA
1624580081,23,1750,175,4.5,2829,NA
1624580081,3,1571,15,0,270,NA
1624580081,4,1596,33,0,213,NA
1624580081,5,1645,59,0,1854,NA
1624580081,6,1739,117,0,3419,NA
1624580081,7,1909,203,0,8661,NA
1624580081,8,2042,293,1,15185,NA
1624580081,9,2191,387,2,19976,NA
1644430081,0,2834,112,0,2385,NA
1644430081,1,2698,64,0,1138,NA
1644430081,10,3306,224,4.5,4721,NA
1644430081,11,3574,283,6,7790,NA
1644430081,12,3771,387,7,10558,NA
1644430081,13,4058,456,13,13722,NA
1644430081,14,3950,446,12,13157,NA
1644430081,15,3512,288,8,7638,NA
1644430081,16,3658,370,8,9483,NA
1644430081,17,3891,372,12,12414,NA
1644430081,18,4629,647,16,21346,NA
1644430081,19,5668,1073,27,34791,NA
1644430081,2,2710,70,0,1282,NA
1644430081,20,4631,679,17,20999,NA
1644430081,21,4565,739,11,22194,NA
1644430081,22,3924,483,5,14384,NA
1644430081,23,2806,118,1,2885,NA
1644430081,3,2609,45,0,237,NA
1644430081,4,2556,18,0,74,NA
1644430081,5,2550,15,0,15,NA
1644430081,6,2548,14,0,14,NA
1644430081,7,2806,79,0,2455,NA
1644430081,8,3572,256,8,9452,NA
1644430081,9,3299,210,4,4793,NA
1844505072,0,1938,94,0,2208,NA
1844505072,1,1816,36,0,826,NA
1844505072,10,2318,280,3,6541,NA
1844505072,11,2428,365,0,7894,NA
1844505072,12,2231,263,0,5532,NA
1844505072,13,2135,214,0,4584,NA
1844505072,14,2236,258,0.5,5880,NA
1844505072,15,2214,258,2.5,5320,NA
1844505072,16,2161,231,0,5310,NA
1844505072,17,2140,219,0,4877,NA
1844505072,18,2040,168,0,3213,NA
1844505072,19,2203,242,0,5273,NA
1844505072,2,1797,25,0,773,NA
1844505072,20,2208,262,0,5727,NA
1844505072,21,2130,210,0,4186,NA
1844505072,22,2138,212,0,4754,NA
1844505072,23,1970,127,0,2677,NA
1844505072,3,1741,3,0,52,NA
1844505072,4,1736,0,0,0,NA
1844505072,5,1736,0,0,0,NA
1844505072,6,1752,7,0,113,NA
1844505072,7,1753,8,0,122,NA
1844505072,8,1871,64,0,1473,NA
1844505072,9,1989,125,0,2607,NA
1927972279,0,2674,3,0,20,NA
1927972279,1,2674,3,0,23,NA
1927972279,10,3083,129,0,3572,NA
1927972279,11,3206,189,0,4431,NA
1927972279,12,2886,73,0,1312,NA
1927972279,13,3030,127,0,3148,NA
1927972279,14,2796,41,0,916,NA
1927972279,15,2881,72,0,1490,NA
1927972279,16,2903,105,0,2127,NA
1927972279,17,2901,110,0,1759,NA
1927972279,18,2896,107,0,1843,NA
1927972279,19,2977,139,0,2710,NA
1927972279,2,2672,2,0,17,NA
1927972279,20,2726,50,0,598,NA
1927972279,21,2710,45,0,542,NA
1927972279,22,2632,17,0,208,NA
1927972279,23,2605,10,0,96,NA
1927972279,3,2672,2,0,22,NA
1927972279,4,2688,8,0,110,NA
1927972279,5,2666,0,0,0,NA
1927972279,6,2672,3,0,28,NA
1927972279,7,2665,0,0,0,NA
1927972279,8,2940,91,0,2676,NA
1927972279,9,2792,41,0,752,NA
2022484408,0,1922,0,0,0,NA
2022484408,1,1922,0,0,0,NA
2022484408,10,6230,1726,42,42062,89.6726447044335
2022484408,11,4268,934,23,23736,78.4145202833226
2022484408,12,3793,756,21,20849,76.3650500126082
2022484408,13,3780,678,19,20109,78.3158181323169
2022484408,14,5975,1623,42,52933,87.9389454209066
2022484408,15,3965,793,22,23334,76.6636909592599
2022484408,16,4300,930,24,27940,78.9661880113541
2022484408,17,3657,692,23,17514,75.6552797644089
2022484408,18,3663,737,21,19445,77.6167171599472
2022484408,19,3220,518,17,12443,76.3627980625931
2022484408,2,1922,0,0,0,NA
2022484408,20,2287,185,4.5,3719,72.7769506479184
2022484408,21,1987,50,0,632,78.4022471910112
2022484408,22,1877,7,0,182,66.8703703703704
2022484408,23,1860,0,0,0,NA
2022484408,3,1922,0,0,0,NA
2022484408,4,1922,0,0,0,NA
2022484408,5,1922,0,0,0,NA
2022484408,6,2089,69,0,1717,71.5225851285615
2022484408,7,3067,446,12,11141,79.0778114350625
2022484408,8,3237,495,15,14555,73.8060330108139
2022484408,9,6846,1896,35,59401,93.1250688271848
2026352035,0,1474,16,0,150,NA
2026352035,1,1464,6,0,105,NA
2026352035,10,2222,437,13,9994,95.6932907348243
2026352035,11,2286,464,11,11322,105.880597014925
2026352035,12,2233,456,10,10787,NA
2026352035,13,2426,555,16,13910,NA
2026352035,14,2406,573,16,12564,NA
2026352035,15,2533,630,22,15293,NA
2026352035,16,2415,581,12,14247,103.730659025788
2026352035,17,2352,560,17,12778,102.658595641646
2026352035,18,2327,575,19,11215,91.8864541832669
2026352035,19,2098,425,14,8053,86.561135371179
2026352035,2,1460,3,0,19,NA
2026352035,20,2166,493,14,9293,77.1481481481482
2026352035,21,1716,201,5,4139,NA
2026352035,22,1491,61,1,809,73
2026352035,23,1451,37,1,352,NA
2026352035,3,1466,8,0,70,NA
2026352035,4,1461,4,0,42,NA
2026352035,5,1540,50,0,1283,67.1986301369863
2026352035,6,2196,452,16,10178,73.2826086956522
2026352035,7,2259,510,14,9035,NA
2026352035,8,2187,454,13,8231,NA
2026352035,9,2146,407,10,8199,105.139705882353
2320127002,0,1989,143,0,2805,NA
2320127002,1,1992,140,0,2935,NA
2320127002,10,2259,268,4,6258,NA
2320127002,11,2289,287,0,6734,NA
2320127002,12,2408,333,0,8720,NA
2320127002,13,2181,225,0,5700,NA
2320127002,14,2240,251,0,6592,NA
2320127002,15,2429,381,10.5,10145,NA
2320127002,16,2421,381,12.5,8430,NA
2320127002,17,2447,404,15.5,8934,NA
2320127002,18,2256,311,8,6317,NA
2320127002,19,2300,332,9.5,6777,NA
2320127002,2,1923,110,0,2180,NA
2320127002,20,2509,436,14,9983,NA
2320127002,21,2491,433,15.5,9549,NA
2320127002,22,2415,383,12.5,8616,NA
2320127002,23,2175,268,7.5,5463,NA
2320127002,3,1878,86,0,1854,NA
2320127002,4,1841,68,0,1371,NA
2320127002,5,1870,81,0,1750,NA
2320127002,6,2100,207,0,4009,NA
2320127002,7,2497,405,14,9339,NA
2320127002,8,2202,237,0,5587,NA
2320127002,9,2216,256,1,5987,NA
2347167796,0,1029,4,0,31,69.2810304449649
2347167796,1,1025,1,0,8,66.63896373057
2347167796,10,1504,255,12,4910,75.7483390911507
2347167796,11,1819,365,12,8150,78.2651039486535
2347167796,12,1588,287,15,6325,74.8880093814131
2347167796,13,1941,449,22,13849,80.4631339678932
2347167796,14,1588,292,17,4530,79.8033485540335
2347167796,15,1444,217,10,2749,77.5209784796408
2347167796,16,1376,207,12,3203,75.0513750377758
2347167796,17,1502,255,13,5586,74.7819245230469
2347167796,18,2537,638,36,24223,85.8785552479235
2347167796,19,2065,496,19,14302,85.8710203058411
2347167796,2,1032,7,0,47,64.1629929221436
2347167796,20,2038,492,28,15345,83.1390423572744
2347167796,21,1814,426,14,13140,80.2601066816395
2347167796,22,1220,126,4,2996,72.7922218221102
2347167796,23,984,11,0,125,70.6091549295775
2347167796,3,1022,1,0,4,64.1644390441474
2347167796,4,1029,6,0,63,63.1831325301205
2347167796,5,1026,3,0,36,62.1831210191083
2347167796,6,1045,40,2,811,64.9263359591228
2347167796,7,2028,520,14,18236,83.4300328121984
2347167796,8,2481,622,26,24352,90.7487712881472
2347167796,9,1592,292,10,8316,83.9930766427791
2873212765,0,1653,19,0,276,NA
2873212765,1,1622,0,0,0,NA
2873212765,10,3381,944,33,21535,NA
2873212765,11,2598,463,15,12957,NA
2873212765,12,3589,1072,34,24113,NA
2873212765,13,3065,732,27,17602,NA
2873212765,14,2438,441,9,9249,NA
2873212765,15,2491,476,13,9747,NA
2873212765,16,2478,530,19,9442,NA
2873212765,17,2673,657,19.5,10190,NA
2873212765,18,2462,556,18,8999,NA
2873212765,19,2219,407,11.5,6747,NA
2873212765,2,1622,0,0,0,NA
2873212765,20,2057,301,8,4662,NA
2873212765,21,1929,230,7,3098,NA
2873212765,22,1706,85,0,1301,NA
2873212765,23,1610,29,0,230,NA
2873212765,3,1622,0,0,0,NA
2873212765,4,1622,0,0,0,NA
2873212765,5,2119,338,15,4156,NA
2873212765,6,2474,465,10,6440,NA
2873212765,7,3634,953,25,30266,NA
2873212765,8,4364,1311,33,32917,NA
2873212765,9,3631,1106,38,20203,NA
3372868164,0,1140,15,0.5,81,NA
3372868164,1,1133,11,0,0,NA
3372868164,10,2535,767,32.5,16380,NA
3372868164,11,2399,717,30,15028,NA
3372868164,12,1802,417,20,7246,NA
3372868164,13,1671,336,17.5,6008,NA
3372868164,14,2111,573,23.5,12094,NA
3372868164,15,2060,544,23.5,11131,NA
3372868164,16,1720,405,22,7315,NA
3372868164,17,1726,415,23,6934,NA
3372868164,18,1707,381,21,7852,NA
3372868164,19,1723,393,16,9048,NA
3372868164,2,1137,14,0,19,NA
3372868164,20,1643,371,20,6287,NA
3372868164,21,1297,155,7,1668,NA
3372868164,22,1213,100,5,878,NA
3372868164,23,1119,35,0,331,NA
3372868164,3,1130,7,0,53,NA
3372868164,4,1127,6,0,0,NA
3372868164,5,1265,99,2,877,NA
3372868164,6,1294,119,6,1476,NA
3372868164,7,1572,288,11.5,4813,NA
3372868164,8,1951,508,23.5,10134,NA
3372868164,9,2114,583,25,11404,NA
3977333714,0,1497,174,4,3913,NA
3977333714,1,1288,43,0,888,NA
3977333714,10,1974,485,17,13134,NA
3977333714,11,2033,539,12,15739,NA
3977333714,12,1797,359,8,10779,NA
3977333714,13,2390,766,15,24474,NA
3977333714,14,2413,817,16,24783,NA
3977333714,15,1899,447,11,12412,NA
3977333714,16,2124,608,13,16765,NA
3977333714,17,2284,692,15,22315,NA
3977333714,18,2310,750,19,21948,NA
3977333714,19,2689,1032,13,32761,NA
3977333714,2,1240,14,0,200,NA
3977333714,20,2441,818,9,27493,NA
3977333714,21,2418,810,10,26958,NA
3977333714,22,2741,980,11,34685,NA
3977333714,23,2502,760,6,28839,NA
3977333714,3,1238,16,0,169,NA
3977333714,4,1224,5,0,40,NA
3977333714,5,1231,11,0,83,NA
3977333714,6,1257,25,0,471,NA
3977333714,7,1302,55,0,1173,NA
3977333714,8,1470,175,2,4074,NA
3977333714,9,1540,218,4,4148,NA
